week,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,wuhan bsl-4 lab
2020-01-29 2020-02-05,South Dakota,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Tennessee,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Texas,17,0,38,12,9,54,43,0
2020-01-29 2020-02-05,Utah,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Vermont,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Virginia,14,0,0,72,0,0,0,0
2020-01-29 2020-02-05,Washington,17,0,0,44,36,0,0,0
2020-01-29 2020-02-05,West Virginia,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Wisconsin,23,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Wyoming,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Alabama,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Alaska,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Arizona,0,0,0,80,0,0,0,0
2020-02-05 2020-02-12,Arkansas,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,California,6,0,0,20,15,55,0,0
2020-02-05 2020-02-12,Colorado,41,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Connecticut,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Delaware,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,District of Columbia,100,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Florida,0,0,0,24,0,100,0,0
2020-02-05 2020-02-12,Georgia,12,0,0,76,0,0,0,0
2020-02-05 2020-02-12,Hawaii,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Idaho,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Illinois,9,0,0,0,44,0,0,0
2020-02-05 2020-02-12,Indiana,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Iowa,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Kansas,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Kentucky,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Louisiana,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Maine,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Maryland,19,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Massachusetts,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Michigan,14,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Minnesota,23,0,0,100,0,0,0,0
2020-02-05 2020-02-12,Mississippi,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Missouri,22,0,0,95,0,0,0,0
2020-02-05 2020-02-12,Montana,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Nebraska,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Nevada,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,New Hampshire,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,New Jersey,13,0,100,57,0,0,0,0
2020-02-05 2020-02-12,New Mexico,69,0,0,0,0,0,0,0
2020-02-05 2020-02-12,New York,5,0,0,47,26,0,0,0
2020-02-05 2020-02-12,North Carolina,0,0,0,51,57,0,0,0
2020-02-05 2020-02-12,North Dakota,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Ohio,0,0,0,0,100,0,0,0
2020-02-05 2020-02-12,Oklahoma,41,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Oregon,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Pennsylvania,10,100,0,0,49,0,0,0
2020-02-05 2020-02-12,Rhode Island,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,South Carolina,28,0,0,0,0,0,0,0
2020-02-05 2020-02-12,South Dakota,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Tennessee,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Texas,0,0,0,37,0,0,0,0
2020-02-05 2020-02-12,Utah,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Vermont,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Virginia,14,0,0,60,0,0,0,0
2020-02-05 2020-02-12,Washington,0,0,0,73,0,0,0,0
2020-02-05 2020-02-12,West Virginia,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Wisconsin,23,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Wyoming,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Alabama,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Alaska,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Arizona,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Arkansas,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,California,8,99,16,13,19,100,0,0
2020-02-12 2020-02-19,Colorado,13,0,0,93,0,0,0,0
2020-02-12 2020-02-19,Connecticut,0,0,0,0,100,0,0,0
2020-02-12 2020-02-19,Delaware,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,District of Columbia,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Florida,7,71,0,24,17,0,0,0
2020-02-12 2020-02-19,Georgia,0,0,0,0,36,0,0,0
2020-02-12 2020-02-19,Hawaii,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Idaho,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Illinois,6,0,46,39,27,0,0,0
2020-02-12 2020-02-19,Indiana,14,0,0,0,63,0,0,0
2020-02-12 2020-02-19,Iowa,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Kansas,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Kentucky,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Louisiana,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Maine,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Maryland,0,0,100,0,0,0,0,0
2020-02-12 2020-02-19,Massachusetts,11,0,0,73,50,0,0,0
2020-02-12 2020-02-19,Michigan,9,0,72,61,0,0,0,0
2020-02-12 2020-02-19,Minnesota,15,0,0,100,68,0,0,0
2020-02-12 2020-02-19,Mississippi,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Missouri,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Montana,100,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Nebraska,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Nevada,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,New Hampshire,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,New Jersey,9,0,0,0,0,0,0,0
2020-02-12 2020-02-19,New Mexico,0,0,0,0,0,0,0,0
