,week,State,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon,wuhan virus lab,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab
280,2020-02-05 2020-02-12,Missouri,0,0,0,10,0,15,0,0,0,0
281,2020-02-05 2020-02-12,Montana,0,0,0,0,0,0,0,0,0,0
282,2020-02-05 2020-02-12,Nebraska,0,0,0,0,0,0,0,0,0,0
283,2020-02-05 2020-02-12,Nevada,0,0,0,0,0,0,0,0,0,0
284,2020-02-05 2020-02-12,New Hampshire,0,0,0,0,0,0,0,0,0,0
285,2020-02-05 2020-02-12,New Jersey,31,0,0,11,0,9,0,100,0,0
286,2020-02-05 2020-02-12,New Mexico,0,0,0,0,0,0,0,0,0,0
287,2020-02-05 2020-02-12,New York,13,27,0,2,0,4,24,0,0,0
288,2020-02-05 2020-02-12,North Carolina,0,0,0,5,0,0,50,0,0,0
289,2020-02-05 2020-02-12,North Dakota,0,0,0,0,0,0,0,0,0,0
290,2020-02-05 2020-02-12,Ohio,0,51,0,7,0,7,0,78,0,0
291,2020-02-05 2020-02-12,Oklahoma,0,0,0,18,0,0,0,0,0,0
292,2020-02-05 2020-02-12,Oregon,0,0,0,0,0,0,0,0,0,0
293,2020-02-05 2020-02-12,Pennsylvania,24,50,0,4,0,7,0,76,0,0
294,2020-02-05 2020-02-12,Rhode Island,0,0,0,0,0,0,0,0,0,0
295,2020-02-05 2020-02-12,South Carolina,0,0,0,0,0,19,0,0,0,0
296,2020-02-05 2020-02-12,South Dakota,0,0,0,0,0,0,0,0,0,0
297,2020-02-05 2020-02-12,Tennessee,0,100,0,0,0,0,86,0,0,0
298,2020-02-05 2020-02-12,Texas,0,0,0,7,0,0,55,0,100,0
299,2020-02-05 2020-02-12,Utah,100,0,0,0,0,0,0,0,0,0
300,2020-02-05 2020-02-12,Vermont,0,0,0,100,0,0,0,0,0,0
301,2020-02-05 2020-02-12,Virginia,33,69,0,15,0,0,0,0,0,0
302,2020-02-05 2020-02-12,Washington,0,0,0,15,0,0,0,0,0,0
303,2020-02-05 2020-02-12,West Virginia,0,0,0,0,0,0,0,0,0,0
304,2020-02-05 2020-02-12,Wisconsin,0,0,0,10,0,0,0,0,0,0
305,2020-02-05 2020-02-12,Wyoming,0,0,0,0,0,0,0,0,0,0
306,2020-02-12 2020-02-19,Alabama,0,0,0,0,0,0,0,0,0,0
307,2020-02-12 2020-02-19,Alaska,0,0,0,0,0,0,0,0,0,0
308,2020-02-12 2020-02-19,Arizona,45,0,0,35,0,19,0,0,0,0
309,2020-02-12 2020-02-19,Arkansas,0,0,0,0,0,0,0,0,0,0
310,2020-02-12 2020-02-19,California,22,82,0,20,14,19,9,0,100,60
311,2020-02-12 2020-02-19,Colorado,50,0,0,20,0,0,0,0,0,0
312,2020-02-12 2020-02-19,Connecticut,79,0,0,31,0,0,0,0,0,0
313,2020-02-12 2020-02-19,Delaware,0,0,0,0,0,0,0,0,0,0
314,2020-02-12 2020-02-19,District of Columbia,0,0,0,100,0,0,0,0,0,0
315,2020-02-12 2020-02-19,Florida,0,0,0,5,0,6,24,24,0,0
316,2020-02-12 2020-02-19,Georgia,0,0,0,11,0,0,0,0,0,0
317,2020-02-12 2020-02-19,Hawaii,0,0,0,95,0,0,0,0,0,0
318,2020-02-12 2020-02-19,Idaho,0,0,0,84,0,0,0,0,0,0
319,2020-02-12 2020-02-19,Illinois,0,0,0,8,0,19,13,78,0,0
320,2020-02-12 2020-02-19,Indiana,0,0,0,0,0,22,0,0,0,0
321,2020-02-12 2020-02-19,Iowa,0,0,0,0,0,0,0,0,0,0
322,2020-02-12 2020-02-19,Kansas,0,0,0,0,0,0,0,0,0,0
323,2020-02-12 2020-02-19,Kentucky,0,0,0,31,0,0,0,0,0,0
324,2020-02-12 2020-02-19,Louisiana,0,0,0,0,0,0,0,0,0,0
325,2020-02-12 2020-02-19,Maine,0,0,0,0,0,0,0,0,0,0
326,2020-02-12 2020-02-19,Maryland,0,0,0,18,0,20,27,0,0,0
