,week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
184,2020-01-22 2020-01-29,New Mexico,31,0,0,0,0,0,0,0
185,2020-01-22 2020-01-29,New York,16,9,0,0,0,0,0,0
186,2020-01-22 2020-01-29,North Carolina,5,0,0,0,0,0,0,0
187,2020-01-22 2020-01-29,North Dakota,87,0,0,0,0,0,0,0
188,2020-01-22 2020-01-29,Ohio,5,0,0,0,0,0,0,0
189,2020-01-22 2020-01-29,Oklahoma,18,0,0,0,0,0,0,0
190,2020-01-22 2020-01-29,Oregon,14,0,0,0,0,0,0,0
191,2020-01-22 2020-01-29,Pennsylvania,4,0,0,0,0,0,0,0
192,2020-01-22 2020-01-29,Rhode Island,0,0,0,0,0,0,0,0
193,2020-01-22 2020-01-29,South Carolina,0,0,0,0,0,0,0,0
194,2020-01-22 2020-01-29,South Dakota,84,0,0,0,0,0,0,0
195,2020-01-22 2020-01-29,Tennessee,17,0,0,0,0,0,0,0
196,2020-01-22 2020-01-29,Texas,4,7,0,0,0,100,0,0
197,2020-01-22 2020-01-29,Utah,18,0,0,0,0,0,0,0
198,2020-01-22 2020-01-29,Vermont,100,0,0,0,0,0,0,0
199,2020-01-22 2020-01-29,Virginia,6,33,0,0,0,0,0,0
200,2020-01-22 2020-01-29,Washington,7,0,0,0,0,0,0,0
201,2020-01-22 2020-01-29,West Virginia,43,0,0,0,0,0,0,0
202,2020-01-22 2020-01-29,Wisconsin,0,0,0,0,0,0,0,0
203,2020-01-22 2020-01-29,Wyoming,0,0,0,0,0,0,0,0
204,2020-01-29 2020-02-05,Alabama,12,25,0,0,0,0,0,0
205,2020-01-29 2020-02-05,Alaska,0,0,0,0,0,0,0,0
206,2020-01-29 2020-02-05,Arizona,9,0,0,0,0,100,0,0
207,2020-01-29 2020-02-05,Arkansas,51,0,0,0,0,0,0,0
208,2020-01-29 2020-02-05,California,15,8,9,0,0,16,0,0
209,2020-01-29 2020-02-05,Colorado,10,0,0,0,0,0,0,0
210,2020-01-29 2020-02-05,Connecticut,15,0,0,0,0,0,0,0
211,2020-01-29 2020-02-05,Delaware,0,0,0,0,0,0,0,0
212,2020-01-29 2020-02-05,District of Columbia,0,0,0,0,0,0,0,0
213,2020-01-29 2020-02-05,Florida,16,9,17,0,0,0,0,0
214,2020-01-29 2020-02-05,Georgia,8,12,0,0,0,0,0,0
215,2020-01-29 2020-02-05,Hawaii,100,0,0,0,0,0,0,0
216,2020-01-29 2020-02-05,Idaho,64,0,0,0,0,0,0,0
217,2020-01-29 2020-02-05,Illinois,6,9,0,0,0,0,0,0
218,2020-01-29 2020-02-05,Indiana,10,0,0,0,0,0,0,0
219,2020-01-29 2020-02-05,Iowa,22,0,0,0,0,0,0,0
220,2020-01-29 2020-02-05,Kansas,50,0,0,0,0,0,0,0
221,2020-01-29 2020-02-05,Kentucky,16,0,0,0,0,0,0,0
222,2020-01-29 2020-02-05,Louisiana,16,0,100,0,0,0,0,0
223,2020-01-29 2020-02-05,Maine,52,0,0,0,0,0,0,0
224,2020-01-29 2020-02-05,Maryland,23,20,0,0,0,0,0,0
225,2020-01-29 2020-02-05,Massachusetts,8,0,0,0,0,0,0,0
226,2020-01-29 2020-02-05,Michigan,7,14,0,0,0,0,0,0
227,2020-01-29 2020-02-05,Minnesota,16,0,0,0,0,0,0,0
228,2020-01-29 2020-02-05,Mississippi,0,0,0,0,0,0,0,0
229,2020-01-29 2020-02-05,Missouri,16,0,0,0,0,0,0,0
230,2020-01-29 2020-02-05,Montana,0,0,0,0,0,0,0,0
231,2020-01-29 2020-02-05,Nebraska,0,0,0,0,0,0,0,0
232,2020-01-29 2020-02-05,Nevada,21,0,0,0,0,0,0,0
233,2020-01-29 2020-02-05,New Hampshire,47,100,0,0,0,0,0,0
234,2020-01-29 2020-02-05,New Jersey,12,26,38,0,0,0,0,0
235,2020-01-29 2020-02-05,New Mexico,67,0,0,0,0,0,0,0
236,2020-01-29 2020-02-05,New York,10,6,16,0,0,0,0,0
237,2020-01-29 2020-02-05,North Carolina,11,0,0,0,0,62,0,0
238,2020-01-29 2020-02-05,North Dakota,0,0,0,0,0,0,0,0
239,2020-01-29 2020-02-05,Ohio,17,0,0,0,0,55,0,0
240,2020-01-29 2020-02-05,Oklahoma,0,0,0,0,0,0,0,0
241,2020-01-29 2020-02-05,Oregon,45,48,0,0,0,0,0,0
242,2020-01-29 2020-02-05,Pennsylvania,7,20,0,0,0,0,0,0
243,2020-01-29 2020-02-05,Rhode Island,0,0,0,0,0,0,0,0
244,2020-01-29 2020-02-05,South Carolina,14,0,0,0,0,0,0,0
245,2020-01-29 2020-02-05,South Dakota,92,0,0,0,0,0,0,0
246,2020-01-29 2020-02-05,Tennessee,14,0,0,0,0,0,0,0
247,2020-01-29 2020-02-05,Texas,8,0,0,0,0,0,0,0
248,2020-01-29 2020-02-05,Utah,0,0,0,0,0,0,0,100
249,2020-01-29 2020-02-05,Vermont,0,0,0,0,0,0,0,0
250,2020-01-29 2020-02-05,Virginia,19,14,0,0,0,0,0,0
251,2020-01-29 2020-02-05,Washington,24,0,0,0,0,0,0,0
252,2020-01-29 2020-02-05,West Virginia,0,0,0,0,0,0,0,0
253,2020-01-29 2020-02-05,Wisconsin,11,0,0,0,0,0,0,0
254,2020-01-29 2020-02-05,Wyoming,0,0,0,0,0,0,0,0
255,2020-02-05 2020-02-12,Alabama,0,0,0,0,0,0,0,0
256,2020-02-05 2020-02-12,Alaska,0,0,0,0,0,0,0,0
257,2020-02-05 2020-02-12,Arizona,10,0,0,0,0,0,0,0
258,2020-02-05 2020-02-12,Arkansas,0,0,0,0,0,0,0,0
259,2020-02-05 2020-02-12,California,15,13,47,0,0,0,0,0
260,2020-02-05 2020-02-12,Colorado,11,0,0,0,0,0,0,0
261,2020-02-05 2020-02-12,Connecticut,17,0,0,100,0,0,0,0
262,2020-02-05 2020-02-12,Delaware,0,0,0,0,0,0,0,0
