date,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,avg
4/18/2020,Ohio,8,0,0,0,27,0,0,5
4/18/2020,Oklahoma,0,0,0,0,100,0,0,14.28571429
4/18/2020,Oregon,23,0,0,0,75,0,0,14
4/18/2020,Pennsylvania,7,0,46,41,69,0,0,23.28571429
4/18/2020,Rhode Island,0,0,0,0,0,0,0,0
4/18/2020,South Carolina,0,0,0,0,0,0,0,0
4/18/2020,South Dakota,0,0,0,0,0,0,0,0
4/18/2020,Tennessee,0,0,0,0,50,0,0,7.142857143
4/18/2020,Texas,5,34,21,0,16,0,0,10.85714286
4/18/2020,Utah,31,0,0,0,0,0,0,4.428571429
4/18/2020,Vermont,0,0,0,0,0,0,0,0
4/18/2020,Virginia,0,0,0,0,0,0,0,0
4/18/2020,Washington,12,0,0,0,0,0,0,1.714285714
4/18/2020,West Virginia,0,0,0,0,0,0,0,0
4/18/2020,Wisconsin,17,0,0,100,0,0,0,16.71428571
4/18/2020,Wyoming,0,0,0,0,0,0,0,0
4/19/2020,Alabama,0,0,0,0,0,0,0,0
4/19/2020,Alaska,0,0,0,0,0,0,0,0
4/19/2020,Arizona,0,0,0,100,0,0,0,14.28571429
4/19/2020,Arkansas,0,0,0,0,0,0,0,0
4/19/2020,California,3,32,0,0,6,0,100,20.14285714
4/19/2020,Colorado,20,0,0,0,0,0,0,2.857142857
4/19/2020,Connecticut,0,0,0,0,0,0,0,0
4/19/2020,Delaware,0,0,0,0,0,0,0,0
4/19/2020,District of Columbia,0,0,0,0,0,0,0,0
4/19/2020,Florida,5,0,0,0,11,0,0,2.285714286
4/19/2020,Georgia,10,0,0,0,0,0,0,1.428571429
4/19/2020,Hawaii,0,0,0,0,0,0,0,0
4/19/2020,Idaho,0,0,0,0,0,0,0,0
4/19/2020,Illinois,0,0,0,0,17,100,0,16.71428571
4/19/2020,Indiana,0,0,0,0,0,0,0,0
4/19/2020,Iowa,0,0,0,0,0,0,0,0
4/19/2020,Kansas,0,0,0,0,100,0,0,14.28571429
4/19/2020,Kentucky,0,0,0,0,0,0,0,0
4/19/2020,Louisiana,0,0,0,0,0,0,0,0
4/19/2020,Maine,100,0,0,0,0,0,0,14.28571429
4/19/2020,Maryland,17,0,0,0,0,0,0,2.428571429
4/19/2020,Massachusetts,0,0,100,0,0,0,0,14.28571429
4/19/2020,Michigan,23,0,0,0,0,0,0,3.285714286
4/19/2020,Minnesota,21,0,0,0,0,0,0,3
4/19/2020,Mississippi,0,0,0,0,0,0,0,0
4/19/2020,Missouri,0,0,0,0,0,0,0,0
4/19/2020,Montana,0,0,0,0,0,0,0,0
4/19/2020,Nebraska,0,0,0,0,0,0,0,0
4/19/2020,Nevada,39,0,0,0,0,0,0,5.571428571
4/19/2020,New Hampshire,0,0,0,0,0,0,0,0
4/19/2020,New Jersey,11,0,0,0,0,0,0,1.571428571
4/19/2020,New Mexico,65,0,0,0,0,0,0,9.285714286
4/19/2020,New York,5,0,0,0,11,0,0,2.285714286
4/19/2020,North Carolina,11,0,0,0,22,0,0,4.714285714
4/19/2020,North Dakota,0,0,0,0,0,0,0,0
4/19/2020,Ohio,15,0,0,0,20,0,0,5
4/19/2020,Oklahoma,36,0,0,0,0,0,0,5.142857143
4/19/2020,Oregon,0,0,0,0,0,0,0,0
4/19/2020,Pennsylvania,9,100,0,0,0,0,0,15.57142857
4/19/2020,Rhode Island,0,0,0,0,0,0,0,0
4/19/2020,South Carolina,0,0,0,0,0,0,0,0
4/19/2020,South Dakota,0,0,0,0,0,0,0,0
4/19/2020,Tennessee,0,0,0,0,0,0,0,0
4/19/2020,Texas,4,0,0,0,8,0,0,1.714285714
4/19/2020,Utah,0,0,0,0,0,0,0,0
4/19/2020,Vermont,0,0,0,0,0,0,0,0
4/19/2020,Virginia,13,0,0,0,0,0,0,1.857142857
4/19/2020,Washington,0,0,0,0,30,0,0,4.285714286
4/19/2020,West Virginia,0,0,0,0,0,0,0,0
4/19/2020,Wisconsin,0,0,0,0,0,0,0,0
4/19/2020,Wyoming,0,0,0,0,0,0,0,0
