,geoName,week,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon
181,Nevada,2020-01-22 2020-01-29,0,0,0,41,0
182,New Hampshire,2020-01-22 2020-01-29,0,0,0,0,0
183,New Jersey,2020-01-22 2020-01-29,0,0,0,26,0
184,New Mexico,2020-01-22 2020-01-29,0,0,0,69,0
185,New York,2020-01-22 2020-01-29,16,0,0,22,0
186,North Carolina,2020-01-22 2020-01-29,69,100,0,17,0
187,North Dakota,2020-01-22 2020-01-29,0,0,0,0,0
188,Ohio,2020-01-22 2020-01-29,0,0,0,21,0
189,Oklahoma,2020-01-22 2020-01-29,0,0,0,40,0
190,Oregon,2020-01-22 2020-01-29,91,0,0,0,0
191,Pennsylvania,2020-01-22 2020-01-29,0,0,0,19,0
192,Rhode Island,2020-01-22 2020-01-29,0,0,0,0,0
193,South Carolina,2020-01-22 2020-01-29,0,0,0,0,0
194,South Dakota,2020-01-22 2020-01-29,0,0,0,0,0
195,Tennessee,2020-01-22 2020-01-29,0,0,0,39,0
196,Texas,2020-01-22 2020-01-29,12,18,0,8,0
197,Utah,2020-01-22 2020-01-29,0,0,0,0,0
198,Vermont,2020-01-22 2020-01-29,0,0,0,0,0
199,Virginia,2020-01-22 2020-01-29,39,0,0,13,0
200,Washington,2020-01-22 2020-01-29,48,72,0,24,0
201,West Virginia,2020-01-22 2020-01-29,0,0,0,0,0
202,Wisconsin,2020-01-22 2020-01-29,0,0,0,45,0
203,Wyoming,2020-01-22 2020-01-29,0,0,0,0,0
204,Alabama,2020-01-29 2020-02-05,71,0,0,24,0
205,Alaska,2020-01-29 2020-02-05,0,0,0,0,0
206,Arizona,2020-01-29 2020-02-05,0,0,0,19,0
207,Arkansas,2020-01-29 2020-02-05,0,0,0,54,0
208,California,2020-01-29 2020-02-05,14,28,0,23,0
209,Colorado,2020-01-29 2020-02-05,0,0,0,21,0
210,Connecticut,2020-01-29 2020-02-05,93,0,0,31,0
211,Delaware,2020-01-29 2020-02-05,0,0,0,0,0
212,District of Columbia,2020-01-29 2020-02-05,0,0,0,100,0
213,Florida,2020-01-29 2020-02-05,17,25,0,14,0
214,Georgia,2020-01-29 2020-02-05,0,0,0,11,0
215,Hawaii,2020-01-29 2020-02-05,0,0,0,0,0
216,Idaho,2020-01-29 2020-02-05,0,0,0,0,0
217,Illinois,2020-01-29 2020-02-05,53,41,0,18,0
218,Indiana,2020-01-29 2020-02-05,0,0,0,43,0
219,Iowa,2020-01-29 2020-02-05,0,0,0,0,0
220,Kansas,2020-01-29 2020-02-05,0,0,0,0,0
221,Kentucky,2020-01-29 2020-02-05,0,0,0,33,0
222,Louisiana,2020-01-29 2020-02-05,100,0,0,0,0
