week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
2020-01-29 2020-02-05,Iowa,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Kansas,36,100,0,0,0,0,0,0
2020-01-29 2020-02-05,Kentucky,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Louisiana,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Maine,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Maryland,17,0,63,0,0,0,0,0
2020-01-29 2020-02-05,Massachusetts,11,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Michigan,10,13,0,0,0,0,0,0
2020-01-29 2020-02-05,Minnesota,16,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Mississippi,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Missouri,11,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Montana,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Nebraska,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Nevada,15,0,0,0,0,0,0,0
2020-01-29 2020-02-05,New Hampshire,34,94,0,0,0,0,0,0
2020-01-29 2020-02-05,New Jersey,18,13,0,0,0,0,0,0
2020-01-29 2020-02-05,New Mexico,36,0,0,0,0,0,0,0
2020-01-29 2020-02-05,New York,12,5,0,0,0,61,0,100
2020-01-29 2020-02-05,North Carolina,6,23,0,0,0,0,0,0
2020-01-29 2020-02-05,North Dakota,68,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Ohio,11,20,0,0,0,0,0,0
2020-01-29 2020-02-05,Oklahoma,14,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Oregon,22,0,100,0,0,0,0,0
2020-01-29 2020-02-05,Pennsylvania,3,10,63,0,0,0,0,0
2020-01-29 2020-02-05,Rhode Island,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,South Carolina,20,0,0,0,0,0,0,0
2020-01-29 2020-02-05,South Dakota,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Tennessee,7,0,0,0,0,0,0,0
